,,,R1,R2,R3,R4,R5,R6,R7,R8,Wins,Spk
1,🐍USU 1,,"vs ⛈
275.00","vs 🎲
274.50","vs 🌲
274.50","vs 🍒
276.00","vs 📿
275.50","vs ⬜
275.50","vs 📿
274.50","vs 🐻
275.00",8,2200.5
2,💊MQU 1,,"vs 🎃
267.50","vs 🖤
266.00","vs 🌻
273.00","vs 📿
271.00","vs 🍓
269.50","vs 🚬
277.50","vs 🚔
269.00","vs ⬜
273.50",7,2167
3,🚬Melbourne 2,,"vs ⛸
270.00","vs 🎾
276.50","vs 🥕
271.00","vs ⬜
269.50","vs 👻
274.50","vs 💊
274.00","vs 🤸
271.00","vs 🎄
274.00",6,2180.5
4,📿USU 5,,"vs 🎄
270.75","vs 🍕
273.50","vs 🤸
272.50","vs 💊
272.00","vs 🐍
274.00","vs 🚠
270.50","vs 🐍
273.00","vs 👻
273.50",6,2179.75
5,🚔USU 2,,"vs 😡
270.50","vs 🥛
274.00","vs 🔥
274.50","vs 💰
270.00","vs ⬜
270.50","vs 👻
273.00","vs 💊
267.00","vs 🎓
273.00",6,2172.5
6,🍒UNSW 2,,"vs 🐶
268.50","vs 🔌
273.00","vs 🎠
269.00","vs 🐍
271.50","vs ⛳
271.00","vs 🎓
273.00","vs ⬜
271.75","vs 🤘
273.50",6,2171.25
7,⬜USU 3,,"vs 💫
268.00","vs 💍
267.00","vs 🤞
274.00","vs 🚬
271.50","vs 🚔
272.50","vs 🐍
270.00","vs 🍒
273.25","vs 💊
272.50",6,2168.75
8,🌻USU 4,,"vs 🍝
272.00","vs ⛳
269.50","vs 💊
271.50","vs 🖤
269.00","vs 🎺
266.50","vs 🍓
270.50","vs 🐢
271.00","vs 💔
274.00",6,2164
9,🐻Ateneo 1,,"vs 🥕
266.50","vs 😑
271.00","vs 🙃
270.50","vs 🚃
276.00","vs 🤝
268.00","vs 🎺
273.50","vs 💔
268.00","vs 🐍
269.50",6,2163
10,🌲Ateneo 2,,"vs 👓
269.83","vs 🎆
267.00","vs 🐍
270.50","vs 🎺
270.50","vs 🚁
269.67","vs ⛳
273.50","vs ⛸
269.50","vs 🎺
269.00",6,2159.5
11,🚠NUS 1,,"vs 🦇
261.00","vs 🍝
267.00","vs 👾
277.50","vs 🎆
270.50","vs 🆘
269.50","vs 📿
270.00","vs 👅
272.50","vs 🤞
271.00",6,2159
12,🎄Melbourne 1,,"vs 📿
268.75","vs 🥃
270.00","vs 🚰
261.00","vs 🤘
271.00","vs 💰
268.50","vs 🔥
271.50","vs 🤞
275.00","vs 🚬
273.00",6,2158.75
13,🔌IIUM 1,ESL,"vs 💿
263.50","vs 🍒
270.50","vs 👏
270.00","vs 🍕
266.00","vs 💭
272.00","vs 🤞
270.00","vs 🎠
270.83","vs 💰
273.00",6,2155.83
14,🤞UNSW 1,,"vs 👏
271.50","vs 💔
271.00","vs ⬜
272.00","vs 💌
271.50","vs 🎃
272.00","vs 🔌
272.50","vs 🎄
274.00","vs 🚠
267.00",5,2171.5
15=,💰UWA 1,,"vs 👖
268.50","vs ⚓
274.00","vs 🆘
267.50","vs 🚔
269.00","vs 🎄
267.00","vs 🛥
274.33","vs 👔
270.17","vs 🔌
269.50",5,2160
15=,🔥MAD 1,,"vs 🚃
268.50","vs 😖
268.00","vs 🚔
273.50","vs 🤸
272.00","vs ⛸
269.50","vs 🎄
270.50","vs 🤘
269.00","vs 🥃
269.00",5,2160
17,👻MQU 2,,"vs 🍎
269.00","vs 🙃
265.00","vs 🤘
266.50","vs 💭
269.50","vs 🚬
272.50","vs 🚔
271.50","vs 💿
272.00","vs 📿
270.50",5,2156.5
18=,👔UNSW 4,,"vs 🎲
266.00","vs 📅
265.50","vs 😑
269.50","vs 💦
268.83","vs ⬛
274.00","vs 💌
266.00","vs 💰
268.50","vs 🆘
277.00",5,2155.33
